Cause of death,Cause of death Code,County,County Code,Deaths,Population,Crude Rate
Enterocolitis due to Clostridium difficile,A04.7,"Jefferson County, Alabama",1073,15,660367,2.271464201
"Septicaemia, unspecified",A41.9,"Baldwin County, Alabama",1003,19,203709,9.327030224
"Septicaemia, unspecified",A41.9,"Calhoun County, Alabama",1015,31,115620,26.81197025
"Septicaemia, unspecified",A41.9,"Chambers County, Alabama",1017,10,34123,29.30574686
"Septicaemia, unspecified",A41.9,"Chilton County, Alabama",1021,10,43943,22.75675307
"Septicaemia, unspecified",A41.9,"Colbert County, Alabama",1033,17,54354,31.276447
"Septicaemia, unspecified",A41.9,"Covington County, Alabama",1039,16,37835,42.28888595
"Septicaemia, unspecified",A41.9,"Cullman County, Alabama",1043,13,82005,15.85269191
"Septicaemia, unspecified",A41.9,"Dallas County, Alabama",1047,15,41131,36.46884345
"Septicaemia, unspecified",A41.9,"DeKalb County, Alabama",1049,16,71130,22.49402502
"Septicaemia, unspecified",A41.9,"Elmore County, Alabama",1051,17,81468,20.86708892
"Septicaemia, unspecified",A41.9,"Etowah County, Alabama",1055,33,103057,32.02111453
"Septicaemia, unspecified",A41.9,"Jefferson County, Alabama",1073,180,660367,27.25757041
"Septicaemia, unspecified",A41.9,"Lauderdale County, Alabama",1077,17,92596,18.35932438
"Septicaemia, unspecified",A41.9,"Lee County, Alabama",1081,15,156993,9.554566127
"Septicaemia, unspecified",A41.9,"Limestone County, Alabama",1083,11,91663,12.00048002
"Septicaemia, unspecified",A41.9,"Madison County, Alabama",1089,41,353089,11.61180326
"Septicaemia, unspecified",A41.9,"Marshall County, Alabama",1095,20,94725,21.11375033
"Septicaemia, unspecified",A41.9,"Mobile County, Alabama",1097,101,415395,24.31420696
"Septicaemia, unspecified",A41.9,"Montgomery County, Alabama",1101,41,226519,18.10002693
"Septicaemia, unspecified",A41.9,"Morgan County, Alabama",1103,15,119565,12.54547736
"Septicaemia, unspecified",A41.9,"Pickens County, Alabama",1107,10,20864,47.92944785
"Septicaemia, unspecified",A41.9,"Russell County, Alabama",1113,16,59660,26.81863895
"Septicaemia, unspecified",A41.9,"St. Clair County, Alabama",1115,18,87074,20.67207203
"Septicaemia, unspecified",A41.9,"Shelby County, Alabama",1117,29,208713,13.89467834
"Septicaemia, unspecified",A41.9,"Talladega County, Alabama",1121,22,80862,27.20684623
"Septicaemia, unspecified",A41.9,"Tallapoosa County, Alabama",1123,14,40844,34.27676036
"Septicaemia, unspecified",A41.9,"Tuscaloosa County, Alabama",1125,29,203976,14.2173589
"Septicaemia, unspecified",A41.9,"Walker County, Alabama",1127,18,65294,27.56761724
Chronic viral hepatitis C,B18.2,"Jefferson County, Alabama",1073,16,660367,2.422895148
Chronic viral hepatitis C,B18.2,"Madison County, Alabama",1089,10,353089,2.832147136
Chronic viral hepatitis C,B18.2,"Mobile County, Alabama",1097,16,415395,3.851755558
Unspecified human immunodeficiency virus [HIV] disease,B24,"Jefferson County, Alabama",1073,15,660367,2.271464201
Unspecified human immunodeficiency virus [HIV] disease,B24,"Mobile County, Alabama",1097,10,415395,2.407347224
"Oesophagus, unspecified - Malignant neoplasms",C15.9,"Calhoun County, Alabama",1015,13,115620,11.24372946
"Oesophagus, unspecified - Malignant neoplasms",C15.9,"Jefferson County, Alabama",1073,15,660367,2.271464201
"Oesophagus, unspecified - Malignant neoplasms",C15.9,"Madison County, Alabama",1089,14,353089,3.96500599
"Oesophagus, unspecified - Malignant neoplasms",C15.9,"Mobile County, Alabama",1097,23,415395,5.536898615
"Oesophagus, unspecified - Malignant neoplasms",C15.9,"Tuscaloosa County, Alabama",1125,13,203976,6.373298819
"Stomach, unspecified - Malignant neoplasms",C16.9,"Jefferson County, Alabama",1073,28,660367,4.240066508
"Stomach, unspecified - Malignant neoplasms",C16.9,"Madison County, Alabama",1089,12,353089,3.398576563
"Stomach, unspecified - Malignant neoplasms",C16.9,"Montgomery County, Alabama",1101,14,226519,6.180497
"Colon, unspecified - Malignant neoplasms",C18.9,"Autauga County, Alabama",1001,10,55347,18.06782662
"Colon, unspecified - Malignant neoplasms",C18.9,"Baldwin County, Alabama",1003,23,203709,11.29061553
"Colon, unspecified - Malignant neoplasms",C18.9,"Calhoun County, Alabama",1015,20,115620,17.29804532
"Colon, unspecified - Malignant neoplasms",C18.9,"Chilton County, Alabama",1021,11,43943,25.03242837
"Colon, unspecified - Malignant neoplasms",C18.9,"Colbert County, Alabama",1033,16,54354,29.436656
"Colon, unspecified - Malignant neoplasms",C18.9,"Cullman County, Alabama",1043,14,82005,17.07212975
