County,County Code,Deaths,Population,Crude Rate
"Autauga County, Alabama",1001,7373,864093,853.3
"Baldwin County, Alabama",1003,28318,2894386,978.4
"Barbour County, Alabama",1005,4941,473530,1043.4
"Bibb County, Alabama",1007,3850,374892,1027
"Blount County, Alabama",1009,9215,939857,980.5
"Bullock County, Alabama",1011,2172,187495,1158.4
"Butler County, Alabama",1013,4711,353723,1331.8
"Calhoun County, Alabama",1015,22869,1959744,1166.9
"Chambers County, Alabama",1017,7873,595121,1322.9
"Cherokee County, Alabama",1019,5118,429226,1192.4
"Chilton County, Alabama",1021,7675,718554,1068.1
"Choctaw County, Alabama",1023,2897,245140,1181.8
"Clarke County, Alabama",1025,4857,448186,1083.7
"Clay County, Alabama",1027,3094,237307,1303.8
"Cleburne County, Alabama",1029,2886,249056,1158.8
"Coffee County, Alabama",1031,8075,805908,1002
"Colbert County, Alabama",1033,11147,926492,1203.1
"Conecuh County, Alabama",1035,2934,227676,1288.7
"Coosa County, Alabama",1037,2275,195149,1165.8
"Covington County, Alabama",1039,8611,637775,1350.2
"Crenshaw County, Alabama",1041,3046,235064,1295.8
"Cullman County, Alabama",1043,15570,1348361,1154.7
"Dale County, Alabama",1045,7832,842257,929.9
"Dallas County, Alabama",1047,9254,750125,1233.7
"DeKalb County, Alabama",1049,12222,1166654,1047.6
"Elmore County, Alabama",1051,11040,1272411,867.6
"Escambia County, Alabama",1053,7471,645804,1156.9
"Etowah County, Alabama",1055,23060,1761832,1308.9
"Fayette County, Alabama",1057,3937,299745,1313.4
"Franklin County, Alabama",1059,6600,532139,1240.3
"Geneva County, Alabama",1061,5546,446712,1241.5
"Greene County, Alabama",1063,1861,158718,1172.5
"Hale County, Alabama",1065,3215,277084,1160.3
"Henry County, Alabama",1067,3599,287245,1252.9
"Houston County, Alabama",1069,16124,1646763,979.1
"Jackson County, Alabama",1071,10730,907010,1183
"Jefferson County, Alabama",1073,120568,11190666,1077.4
"Lamar County, Alabama",1075,3299,252649,1305.8
