Geography,lessthanhighschool,ged,highschool,somecollege,associates,bachelor,graduateplus
"Autauga County, Alabama",0.128197362,0.063933478,0.271483246,0.225859743,0.078223519,0.134833008,0.097469644
"Baldwin County, Alabama",0.104816753,0.052452172,0.235363246,0.226859658,0.090656273,0.192611733,0.097240166
"Barbour County, Alabama",0.266960868,0.083102935,0.261962994,0.191035729,0.071777967,0.075074436,0.05008507
"Bibb County, Alabama",0.193486467,0.079467656,0.341160663,0.218376096,0.061040374,0.060528505,0.045940239
"Blount County, Alabama",0.21498173,0.059911693,0.274512789,0.223990053,0.097695899,0.086175396,0.04273244
"Bullock County, Alabama",0.351438559,0.041543426,0.291610648,0.145603657,0.03119118,0.065071256,0.073541275
"Butler County, Alabama",0.221634753,0.047084881,0.329737068,0.173692484,0.082666476,0.08380966,0.061374678
"Calhoun County, Alabama",0.190864041,0.062630241,0.255819568,0.244790343,0.070317662,0.107204574,0.068373571
"Chambers County, Alabama",0.210758377,0.077307466,0.306500378,0.212102125,0.077475435,0.07558579,0.040270429
"Cherokee County, Alabama",0.204974912,0.059624213,0.304846803,0.220775061,0.07216825,0.079000747,0.058610014
"Chilton County, Alabama",0.215933768,0.0564943,0.335810261,0.177422638,0.073493485,0.090696254,0.050149294
"Choctaw County, Alabama",0.235997483,0.04468219,0.323683658,0.203167611,0.074365429,0.073526327,0.044577302
"Clarke County, Alabama",0.194943951,0.057566558,0.381188697,0.166627744,0.070235871,0.084072863,0.045364316
"Clay County, Alabama",0.249292082,0.047509177,0.315364447,0.210173047,0.08180388,0.057891977,0.037965391
"Cleburne County, Alabama",0.248560461,0.074664107,0.30806142,0.202015355,0.046065259,0.069193858,0.051439539
"Coffee County, Alabama",0.153522516,0.060991179,0.23354805,0.218837047,0.09450441,0.152332869,0.086263928
"Colbert County, Alabama",0.161439697,0.073879183,0.271600716,0.232687855,0.07456325,0.113107767,0.072721532
"Conecuh County, Alabama",0.219090399,0.057495789,0.387422796,0.183267827,0.070522179,0.044918585,0.037282426
"Coosa County, Alabama",0.259286961,0.055472451,0.3206183,0.215033657,0.064946397,0.050860135,0.033782099
"Covington County, Alabama",0.201851152,0.07023045,0.265621458,0.222931621,0.096108802,0.096335474,0.046921043
"Crenshaw County, Alabama",0.220465019,0.060431504,0.319648094,0.182760788,0.073837453,0.100020947,0.042836196
