Cause of death,Cause of death Code,County,County Code,Deaths,Population,Crude Rate
"Septicaemia, unspecified",A41.9,"Alcorn County, Mississippi",28003,14,37388,37.44516957
"Septicaemia, unspecified",A41.9,"Bolivar County, Mississippi",28011,15,33322,45.0153052
"Septicaemia, unspecified",A41.9,"DeSoto County, Mississippi",28033,20,173323,11.53914945
"Septicaemia, unspecified",A41.9,"Forrest County, Mississippi",28035,20,75944,26.33519435
"Septicaemia, unspecified",A41.9,"Hancock County, Mississippi",28045,11,46420,23.69668246
"Septicaemia, unspecified",A41.9,"Harrison County, Mississippi",28047,33,201410,16.38448935
"Septicaemia, unspecified",A41.9,"Hinds County, Mississippi",28049,47,242891,19.35024352
"Septicaemia, unspecified",A41.9,"Itawamba County, Mississippi",28057,10,23609,42.35672837
"Septicaemia, unspecified",A41.9,"Jackson County, Mississippi",28059,33,141425,23.33392257
"Septicaemia, unspecified",A41.9,"Jones County, Mississippi",28067,18,68215,26.38715825
"Septicaemia, unspecified",A41.9,"Lauderdale County, Mississippi",28075,20,78524,25.46992002
"Septicaemia, unspecified",A41.9,"Lee County, Mississippi",28081,25,85300,29.30832356
"Septicaemia, unspecified",A41.9,"Lincoln County, Mississippi",28085,12,34649,34.63303414
"Septicaemia, unspecified",A41.9,"Lowndes County, Mississippi",28087,17,59710,28.47094289
"Septicaemia, unspecified",A41.9,"Madison County, Mississippi",28089,13,103465,12.56463538
"Septicaemia, unspecified",A41.9,"Marion County, Mississippi",28091,11,25563,43.03094316
"Septicaemia, unspecified",A41.9,"Neshoba County, Mississippi",28099,13,29463,44.12313749
"Septicaemia, unspecified",A41.9,"Pearl River County, Mississippi",28109,10,55191,18.1188962
"Septicaemia, unspecified",A41.9,"Rankin County, Mississippi",28121,21,149039,14.09027167
"Septicaemia, unspecified",A41.9,"Warren County, Mississippi",28149,10,47485,21.05928188
"Septicaemia, unspecified",A41.9,"Washington County, Mississippi",28151,14,48130,29.08788697
"Oesophagus, unspecified - Malignant neoplasms",C15.9,"Harrison County, Mississippi",28047,13,201410,6.454495805
"Stomach, unspecified - Malignant neoplasms",C16.9,"Hinds County, Mississippi",28049,10,242891,4.11707309
"Colon, unspecified - Malignant neoplasms",C18.9,"Adams County, Mississippi",28001,10,31254,31.99590452
