Cause of death,Cause of death Code,County,County Code,Deaths,Population,Crude Rate
"Septicaemia, unspecified",A41.9,"Yellowstone County, Montana",30111,12,157048,7.640976007
"Colon, unspecified - Malignant neoplasms",C18.9,"Flathead County, Montana",30029,17,96165,17.67794936
"Colon, unspecified - Malignant neoplasms",C18.9,"Yellowstone County, Montana",30111,15,157048,9.551220009
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Cascade County, Montana",30013,19,82278,23.09244269
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Flathead County, Montana",30029,20,96165,20.79758748
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Missoula County, Montana",30063,13,114181,11.3854319
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Yellowstone County, Montana",30111,20,157048,12.73496001
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Cascade County, Montana",30013,51,82278,61.98497776
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Flathead County, Montana",30029,56,96165,58.23324494
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Gallatin County, Montana",30031,19,100739,18.86062002
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Hill County, Montana",30041,10,16572,60.3427468
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lake County, Montana",30047,17,29457,57.71124011
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lewis and Clark County, Montana",30049,33,66418,49.68532627
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lincoln County, Montana",30053,30,19052,157.4637833
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Missoula County, Montana",30063,47,114181,41.16271534
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Park County, Montana",30067,11,15972,68.87052342
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Ravalli County, Montana",30081,27,41373,65.25995214
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Sanders County, Montana",30089,10,11336,88.21453776
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Silver Bow County, Montana",30093,26,34622,75.09675929
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Yellowstone County, Montana",30111,67,157048,42.66211604
"Breast, unspecified - Malignant neoplasms",C50.9,"Flathead County, Montana",30029,16,96165,16.63806998
"Breast, unspecified - Malignant neoplasms",C50.9,"Lewis and Clark County, Montana",30049,10,66418,15.05615947
