Geography,Household Median Income
"Autauga County, Alabama",51281
"Baldwin County, Alabama",50254
"Barbour County, Alabama",32964
"Bibb County, Alabama",38678
"Blount County, Alabama",45813
"Bullock County, Alabama",31938
"Butler County, Alabama",32229
"Calhoun County, Alabama",41703
"Chambers County, Alabama",34177
"Cherokee County, Alabama",36296
"Chilton County, Alabama",41627
"Choctaw County, Alabama",33536
"Clarke County, Alabama",32011
"Clay County, Alabama",35327
"Cleburne County, Alabama",38056
"Coffee County, Alabama",46729
"Colbert County, Alabama",40576
"Conecuh County, Alabama",24900
"Coosa County, Alabama",31212
"Covington County, Alabama",36444
"Crenshaw County, Alabama",36022
"Cullman County, Alabama",38971
"Dale County, Alabama",45028
"Dallas County, Alabama",27306
"DeKalb County, Alabama",38192
"Elmore County, Alabama",53555
"Escambia County, Alabama",32330
"Etowah County, Alabama",39220
"Fayette County, Alabama",34680
"Franklin County, Alabama",35372
"Geneva County, Alabama",36024
"Greene County, Alabama",20541
"Hale County, Alabama",32714
"Henry County, Alabama",41997
"Houston County, Alabama",41571
"Jackson County, Alabama",37745
"Jefferson County, Alabama",45610
"Lamar County, Alabama",35450
"Lauderdale County, Alabama",43125
"Lawrence County, Alabama",40003
"Lee County, Alabama",44570
"Limestone County, Alabama",49570
"Lowndes County, Alabama",25876
"Macon County, Alabama",30738
"Madison County, Alabama",57993
"Marengo County, Alabama",32042
"Marion County, Alabama",32299
"Marshall County, Alabama",38983
"Mobile County, Alabama",43809
"Monroe County, Alabama",27257
"Montgomery County, Alabama",44369
"Morgan County, Alabama",45751
"Perry County, Alabama",24537
"Pickens County, Alabama",30330
"Pike County, Alabama",32825
"Randolph County, Alabama",36924
"Russell County, Alabama",37049
"St. Clair County, Alabama",51859
"Shelby County, Alabama",70187
"Sumter County, Alabama",19501
"Talladega County, Alabama",35155
"Tallapoosa County, Alabama",39206
"Tuscaloosa County, Alabama",46565
"Walker County, Alabama",35843
"Washington County, Alabama",42811
"Wilcox County, Alabama",23750
"Winston County, Alabama",33194
"Acadia County, Louisiana",37649
"Allen County, Louisiana",40948
"Ascension County, Louisiana",70551
"Assumption County, Louisiana",49167
"Avoyelles County, Louisiana",33739
"Beauregard County, Louisiana",45969
"Bienville County, Louisiana",32876
"Bossier County, Louisiana",52892
"Caddo County, Louisiana",41234
"Calcasieu County, Louisiana",45312
"Caldwell County, Louisiana",33294
"Cameron County, Louisiana",64231
"Catahoula County, Louisiana",34904
"Claiborne County, Louisiana",32072
"Concordia County, Louisiana",29654
"De Soto County, Louisiana",41468
"East Baton Rouge County, Louisiana",49285
"East Carroll County, Louisiana",21099
"East Feliciana County, Louisiana",45520
"Evangeline County, Louisiana",30009
"Franklin County, Louisiana",30275
"Grant County, Louisiana",39914
"Iberia County, Louisiana",45261
"Iberville County, Louisiana",45117
"Jackson County, Louisiana",38029
"Jefferson County, Louisiana",47947
"Jefferson Davis County, Louisiana",39063
"Lafayette County, Louisiana",51869
"Lafourche County, Louisiana",51030
"LaSalle County, Louisiana",37310
"Lincoln County, Louisiana",33467
"Livingston County, Louisiana",58251
"Madison County, Louisiana",23854
"Morehouse County, Louisiana",28003
"Natchitoches County, Louisiana",31345
"Orleans County, Louisiana",36792
"Ouachita County, Louisiana",37754
"Plaquemines County, Louisiana",50314
"Pointe Coupee County, Louisiana",43825
"Rapides County, Louisiana",40734
"Red River County, Louisiana",38000
"Richland County, Louisiana",36421
"Sabine County, Louisiana",38828
"St. Bernard County, Louisiana",42753
"St. Charles County, Louisiana",59990
"St. Helena County, Louisiana",35437
"St. James County, Louisiana",51107
"St. John the Baptist County, Louisiana",50921
"St. Landry County, Louisiana",32625
"St. Martin County, Louisiana",42794
"St. Mary County, Louisiana",40781
"St. Tammany County, Louisiana",62137
"Tangipahoa County, Louisiana",41302
"Tensas County, Louisiana",22940
"Terrebonne County, Louisiana",47826
"Union County, Louisiana",34992
"Vermilion County, Louisiana",45374
"Vernon County, Louisiana",46312
"Washington County, Louisiana",30705
"Webster County, Louisiana",33681
