Cause of death,Cause of death Code,County,County Code,Deaths,Population,Crude Rate
"Septicaemia, unspecified",A41.9,"Burleigh County, North Dakota",38015,12,92991,12.90447463
"Septicaemia, unspecified",A41.9,"Grand Forks County, North Dakota",38035,11,70916,15.51130915
"Colon, unspecified - Malignant neoplasms",C18.9,"Cass County, North Dakota",38017,12,171512,6.99659499
"Colon, unspecified - Malignant neoplasms",C18.9,"Grand Forks County, North Dakota",38035,10,70916,14.10119014
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Burleigh County, North Dakota",38015,13,92991,13.97984751
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Cass County, North Dakota",38017,12,171512,6.99659499
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Burleigh County, North Dakota",38015,36,92991,38.71342388
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Cass County, North Dakota",38017,46,171512,26.8202808
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Grand Forks County, North Dakota",38035,24,70916,33.84285634
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Morton County, North Dakota",38059,13,30310,42.89013527
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Richland County, North Dakota",38077,14,16402,85.35544446
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Ward County, North Dakota",38101,22,71275,30.86636268
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Williams County, North Dakota",38105,13,35294,36.83345611
"Breast, unspecified - Malignant neoplasms",C50.9,"Burleigh County, North Dakota",38015,13,92991,13.97984751
"Breast, unspecified - Malignant neoplasms",C50.9,"Cass County, North Dakota",38017,11,171512,6.413545408
Malignant neoplasm of prostate,C61,"Cass County, North Dakota",38017,20,171512,11.66099165
Malignant neoplasm without specification of site,C80,"Cass County, North Dakota",38017,12,171512,6.99659499
"Unspecified diabetes mellitus, without complications",E14.9,"Burleigh County, North Dakota",38015,11,92991,11.82910174
"Unspecified diabetes mellitus, without complications",E14.9,"Cass County, North Dakota",38017,10,171512,5.830495825
"Vascular dementia, unspecified",F01.9,"Stark County, North Dakota",38089,10,32154,31.10032966
Unspecified dementia,F03,"Burleigh County, North Dakota",38015,14,92991,15.0552204
Unspecified dementia,F03,"Cass County, North Dakota",38017,27,171512,15.74233873
Unspecified dementia,F03,"Grand Forks County, North Dakota",38035,12,70916,16.92142817
Unspecified dementia,F03,"Williams County, North Dakota",38105,10,35294,28.33342778
Parkinson's disease,G20,"Cass County, North Dakota",38017,12,171512,6.99659499
"Alzheimer's disease, unspecified",G30.9,"Barnes County, North Dakota",38003,17,11099,153.166952
"Alzheimer's disease, unspecified",G30.9,"Burleigh County, North Dakota",38015,63,92991,67.74849179
"Alzheimer's disease, unspecified",G30.9,"Cass County, North Dakota",38017,61,171512,35.56602453
"Alzheimer's disease, unspecified",G30.9,"Grand Forks County, North Dakota",38035,28,70916,39.48333239
"Alzheimer's disease, unspecified",G30.9,"Griggs County, North Dakota",38039,10,2314,432.1521175
"Alzheimer's disease, unspecified",G30.9,"McLean County, North Dakota",38055,10,9744,102.6272578
"Alzheimer's disease, unspecified",G30.9,"Morton County, North Dakota",38059,19,30310,62.68558232
"Alzheimer's disease, unspecified",G30.9,"Stark County, North Dakota",38089,14,32154,43.54046153
"Alzheimer's disease, unspecified",G30.9,"Stutsman County, North Dakota",38093,10,21103,47.38662749
"Alzheimer's disease, unspecified",G30.9,"Traill County, North Dakota",38097,13,8014,162.2161218
"Alzheimer's disease, unspecified",G30.9,"Ward County, North Dakota",38101,26,71275,36.47842862
Essential (primary) hypertension,I10,"Burleigh County, North Dakota",38015,13,92991,13.97984751
Essential (primary) hypertension,I10,"Cass County, North Dakota",38017,11,171512,6.413545408
"Acute myocardial infarction, unspecified",I21.9,"Barnes County, North Dakota",38003,10,11099,90.09820705
