County,Percent non-hispanic White
"Autauga County, Alabama",0.76442264
"Baldwin County, Alabama",0.842967254
"Barbour County, Alabama",0.468405025
"Bibb County, Alabama",0.749257568
"Blount County, Alabama",0.885931757
"Bullock County, Alabama",0.219799139
"Butler County, Alabama",0.528570009
"Calhoun County, Alabama",0.737962441
"Chambers County, Alabama",0.567781923
"Cherokee County, Alabama",0.9282438
"Chilton County, Alabama",0.81175101
"Choctaw County, Alabama",0.568214529
"Clarke County, Alabama",0.53425544
"Clay County, Alabama",0.810892923
"Cleburne County, Alabama",0.933782342
"Coffee County, Alabama",0.724849695
"Colbert County, Alabama",0.798618657
"Conecuh County, Alabama",0.508136858
"Coosa County, Alabama",0.6599607
"Covington County, Alabama",0.842170946
"Crenshaw County, Alabama",0.717425771
"Cullman County, Alabama",0.933189181
"Dale County, Alabama",0.712051853
"Dallas County, Alabama",0.282346612
"DeKalb County, Alabama",0.823299904
"Elmore County, Alabama",0.745796302
"Escambia County, Alabama",0.61413805
"Etowah County, Alabama",0.793317975
"Fayette County, Alabama",0.854571548
"Franklin County, Alabama",0.784858284
"Geneva County, Alabama",0.851093254
"Greene County, Alabama",0.171005917
"Hale County, Alabama",0.405638474
"Henry County, Alabama",0.694200454
"Houston County, Alabama",0.683454066
"Jackson County, Alabama",0.911870435
"Jefferson County, Alabama",0.509641564
"Lamar County, Alabama",0.870738023
"Lauderdale County, Alabama",0.858548612
"Lawrence County, Alabama",0.796969788
"Lee County, Alabama",0.685973451
"Limestone County, Alabama",0.784243959
"Lowndes County, Alabama",0.246401842
"Macon County, Alabama",0.158469945
"Madison County, Alabama",0.665263712
"Marengo County, Alabama",0.457010848
"Marion County, Alabama",0.926886714
"Marshall County, Alabama",0.829068675
"Mobile County, Alabama",0.583152853
"Monroe County, Alabama",0.554500622
"Montgomery County, Alabama",0.357780736
"Morgan County, Alabama",0.777111411
"Perry County, Alabama",0.298667768
"Pickens County, Alabama",0.543669275
"Pike County, Alabama",0.571188878
"Randolph County, Alabama",0.760472184
"Russell County, Alabama",0.488599681
"St. Clair County, Alabama",0.86938128
"Shelby County, Alabama",0.794789164
