Cause of death,Cause of death Code,County,County Code,Deaths,Population,Crude Rate
"Septicaemia, unspecified",A41.9,"Minnehaha County, South Dakota",46099,20,185197,10.799311
"Septicaemia, unspecified",A41.9,"Pennington County, South Dakota",46103,20,108702,18.3989255
"Oesophagus, unspecified - Malignant neoplasms",C15.9,"Minnehaha County, South Dakota",46099,10,185197,5.399655502
"Colon, unspecified - Malignant neoplasms",C18.9,"Minnehaha County, South Dakota",46099,24,185197,12.9591732
"Colon, unspecified - Malignant neoplasms",C18.9,"Pennington County, South Dakota",46103,12,108702,11.0393553
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Lincoln County, South Dakota",46083,10,52849,18.9218339
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Minnehaha County, South Dakota",46099,26,185197,14.03910431
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Beadle County, South Dakota",46005,10,18372,54.43065535
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Brown County, South Dakota",46013,24,38785,61.87959263
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Butte County, South Dakota",46019,12,10283,116.6974618
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Codington County, South Dakota",46029,15,27939,53.68839257
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Davison County, South Dakota",46035,10,19858,50.35753852
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Hughes County, South Dakota",46065,14,17555,79.74935916
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lawrence County, South Dakota",46081,15,24827,60.4180932
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Meade County, South Dakota",46093,14,26986,51.87875195
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Minnehaha County, South Dakota",46099,76,185197,41.03738182
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Pennington County, South Dakota",46103,51,108702,46.91726003
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Union County, South Dakota",46127,10,14909,67.07357972
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Yankton County, South Dakota",46135,19,22702,83.69306669
"Breast, unspecified - Malignant neoplasms",C50.9,"Minnehaha County, South Dakota",46099,20,185197,10.799311
"Breast, unspecified - Malignant neoplasms",C50.9,"Pennington County, South Dakota",46103,12,108702,11.0393553
Malignant neoplasm of prostate,C61,"Minnehaha County, South Dakota",46099,17,185197,9.179414353
Malignant neoplasm of prostate,C61,"Pennington County, South Dakota",46103,10,108702,9.199462751
"Brain, unspecified - Malignant neoplasms",C71.9,"Minnehaha County, South Dakota",46099,11,185197,5.939621052
"Brain, unspecified - Malignant neoplasms",C71.9,"Pennington County, South Dakota",46103,10,108702,9.199462751
Malignant neoplasm without specification of site,C80,"Minnehaha County, South Dakota",46099,19,185197,10.25934545
Malignant neoplasm without specification of site,C80,"Pennington County, South Dakota",46103,13,108702,11.95930158
"Unspecified diabetes mellitus, without complications",E14.9,"Shannon County, South Dakota",46113,10,14373,69.57489738
"Vascular dementia, unspecified",F01.9,"Minnehaha County, South Dakota",46099,16,185197,8.639448803
Unspecified dementia,F03,"Minnehaha County, South Dakota",46099,25,185197,13.49913875
Unspecified dementia,F03,"Pennington County, South Dakota",46103,20,108702,18.3989255
