:@computed_region_csmy_5jwy,:@computed_region_f3tr_pr43,:@computed_region_nwen_78xc,address,city,county_name,effectiveness_of_care_national_comparison,effectiveness_of_care_national_comparison_footnote,efficient_use_of_medical_imaging_national_comparison,efficient_use_of_medical_imaging_national_comparison_footnote,emergency_services,hospital_name,hospital_overall_rating,hospital_overall_rating_footnote,hospital_ownership,hospital_type,location,location_address,location_city,location_state,location_zip,meets_criteria_for_meaningful_use_of_ehrs,mortality_national_comparison,mortality_national_comparison_footnote,patient_experience_national_comparison,patient_experience_national_comparison_footnote,phone_number,phone_number_type,provider_id,readmission_national_comparison,readmission_national_comparison_footnote,safety_of_care_national_comparison,safety_of_care_national_comparison_footnote,state,timeliness_of_care_national_comparison,timeliness_of_care_national_comparison_footnote,zip_code
21,2629,2629,300 22ND AVE,BROOKINGS,BROOKINGS,Same as the national average,,Same as the national average,,TRUE,BROOKINGS HEALTH SYSTEM,4,,Government - Local,Acute Care Hospitals,POINT (-96.768199 44.307751),300 22ND AVE,BROOKINGS,SD,,TRUE,Same as the national average,,Above the national average,,6056969000,,430008,Same as the national average,,Not Available,Results are not available for this reporting period,SD,Above the national average,,57006
36,1922,1922,850 RIVERVIEW AVENUE,PINEVILLE,BELL,Same as the national average,,Same as the national average,,TRUE,PINEVILLE COMMUNITY HOSPITAL,4,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-83.708574 36.763077),850 RIVERVIEW AVENUE,PINEVILLE,KY,,TRUE,Above the national average,,Same as the national average,,6063373051,,180021,Same as the national average,,Same as the national average,,KY,Above the national average,,40977
25,1915,1915,295 VARNUM AVENUE,LOWELL,MIDDLESEX,Same as the national average,,Above the national average,,TRUE,LOWELL GENERAL HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-71.340573 42.646493),295 VARNUM AVENUE,LOWELL,MA,,TRUE,Same as the national average,,Same as the national average,,9789376000,,220063,Below the national average,,Same as the national average,,MA,Below the national average,,1854
30,1076,1076,151 REDSTONE AVE SE,CRESTVIEW,OKALOOSA,Same as the national average,,Same as the national average,,TRUE,NORTH OKALOOSA MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-86.565982 30.737062),151 REDSTONE AVE SE,CRESTVIEW,FL,,TRUE,Same as the national average,,Below the national average,,8506898100,,100122,Same as the national average,,Above the national average,,FL,Same as the national average,,32539
46,2448,2448,1 COOPER PLAZA,CAMDEN,CAMDEN,Same as the national average,,Above the national average,,TRUE,COOPER UNIVERSITY HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-75.115757 39.940802),1 COOPER PLAZA,CAMDEN,NJ,,TRUE,Same as the national average,,Below the national average,,8563422000,,310014,Below the national average,,Below the national average,,NJ,Below the national average,,8103
23,2076,2076,2555 JIMMY JOHNSON BLVD,PORT ARTHUR,JEFFERSON,Below the national average,,Below the national average,,TRUE,THE MEDICAL CENTER OF SOUTHEAST TEXAS,3,,Proprietary,Acute Care Hospitals,POINT (-93.985007 29.934952),2555 JIMMY JOHNSON BLVD,PORT ARTHUR,TX,,TRUE,Same as the national average,,Below the national average,,4098535900,,450518,Above the national average,,Above the national average,,TX,Below the national average,,77640
8,1141,1141,2070 CLINTON AVENUE,ALAMEDA,ALAMEDA,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,ALAMEDA HOSPITAL,2,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-122.253541 37.76323),2070 CLINTON AVENUE,ALAMEDA,CA,,TRUE,Same as the national average,,Below the national average,,5105223700,,50211,Same as the national average,,Same as the national average,,CA,Same as the national average,,94501
47,2032,2032,1400 PELHAM PARKWAY SOUTH,BRONX,BRONX,Below the national average,,Same as the national average,,TRUE,JACOBI MEDICAL CENTER,1,,Government - Local,Acute Care Hospitals,POINT (-73.84721 40.857455),1400 PELHAM PARKWAY SOUTH,BRONX,NY,,TRUE,Same as the national average,,Below the national average,,7189185000,,330127,Below the national average,,Below the national average,,NY,Below the national average,,10461
,,,"HIGHWAY 18, MAIN ST., BLDG. 159",PINE RIDGE,,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,PHS INDIAN HOSPITAL AT PINE RIDGE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Federal,Acute Care Hospitals,POINT (-102.5585371 43.0252276),"HIGHWAY 18, MAIN ST., BLDG. 159",PINE RIDGE,SD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,6058675131,,430081,Same as the national average,,Not Available,Results are not available for this reporting period,SD,Not Available,Results are not available for this reporting period,57770
,,,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,GUAYANILLA,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,HOSPITAL EPISCOPAL SAN LUCAS GUAYAMA INC,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Church,Acute Care Hospitals,,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA,PR,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,7878644300,,400048,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,PR,Not Available,Results are not available for this reporting period,785
47,628,628,51 NORTH ROUTE 9W,WEST HAVERSTRAW,ROCKLAND,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,FALSE,HELEN HAYES HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Local,Acute Care Hospitals,POINT (-73.985931 41.213868),51 NORTH ROUTE 9W,WEST HAVERSTRAW,NY,,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,8457864000,,330405,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,NY,Not Available,Results are not available for this reporting period,10993
